d,b,b,b,b,b,b,d,d,d,d,d,d,d,d,d,g,g,g,g,d,d,d,d,d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,f,f,f,f,f,f,g,g,g,d,d,d,d,d,d,d
d,b,b,b,b,b,b,d,d,d,d,d,d,d,d,d,g,g,g,g,d,d,d,d,d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,f,f,f,f,f,f,g,g,g,d,d,d,d,d,d,d
g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,g,d,d,d,d,d,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,f,f,f,f,f,f,g,g,g,f,f,f,g,g,g,g
g,g,g,g,m,m,m,m,m,m,m,m,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,f,f,f,f,f,f,g,g,g,d,d,d,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,m,m,m,m
f,f,f,f,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
